Date,PriceValue,key,ShillerPERatio,Earnings,TreasuryRate,Unemployment,CPI,USRealGDP,PriceDiff,ShillerPERatioDiff,EarningsDiff,TreasuryRateDiff,UnemploymentDiff,CPIDiff,USRealGDPDiff,MTrend
1995-01-01,465.25,1995-01,20.22,63.07,7.78,5.6,150.3,10.51,0.022100661262330012,0.3099999999999987,0.017094017094017033,-0.02999999999999936,0.09999999999999964,0.004008016032064354,0.0,Bullish
1995-02-01,481.92,1995-02,20.8,64.13,7.47,5.4,150.9,10.51,0.03583019881784,0.5800000000000018,0.01680672268907557,-0.3100000000000005,-0.1999999999999993,0.003992015968063756,0.0,Bullish
1995-03-01,493.15,1995-03,21.15,65.22,7.2,5.4,151.4,10.55,0.023302622841965492,0.34999999999999787,0.01699672540152819,-0.2699999999999996,0.0,0.003313452617627499,0.0038058991436726863,Bullish
1995-04-01,507.91,1995-04,21.64,66.26,7.06,5.8,151.9,10.55,0.029930041569502297,0.490000000000002,0.01594602882551377,-0.14000000000000057,0.39999999999999947,0.0033025099075296716,0.0,Bullish
1995-05-01,523.81,1995-05,22.19,67.38,6.63,5.6,152.2,10.55,0.03130475871709537,0.5500000000000007,0.0169031089646845,-0.4299999999999997,-0.20000000000000018,0.0019749835418036987,0.0,Bullish
1995-06-01,539.35,1995-06,22.72,68.49,6.17,5.6,152.5,10.58,0.029667245757049487,0.5299999999999976,0.016473731077470966,-0.45999999999999996,0.0,0.001971090670170872,0.0028436018957345155,Bullish
1995-07-01,557.37,1995-07,23.37,68.99,6.28,5.7,152.5,10.58,0.03341058681746545,0.6500000000000021,0.007300335815447534,0.11000000000000032,0.10000000000000053,0.0,0.0,Bullish
1995-08-01,559.11,1995-08,23.28,69.3,6.49,5.7,152.9,10.58,0.0031218041875236135,-0.08999999999999986,0.0044934048412814676,0.20999999999999996,0.0,0.0026229508196722318,0.0,Neutral
1995-09-01,578.77,1995-09,23.94,69.66,6.2,5.6,153.2,10.67,0.035163026953551224,0.6600000000000001,0.0051948051948051965,-0.29000000000000004,-0.10000000000000053,0.0019620667102679956,0.008506616257088817,Bullish
1995-10-01,582.92,1995-10,23.93,68.63,6.04,5.5,153.7,10.67,0.007170378561431878,-0.010000000000001563,-0.014786103933390748,-0.16000000000000014,-0.09999999999999964,0.0032637075718016106,0.0,Neutral
1995-11-01,595.53,1995-11,24.35,67.87,5.93,5.6,153.6,10.67,0.021632471008028675,0.4200000000000017,-0.0110738743989508,-0.11000000000000032,0.09999999999999964,-0.0006506180871828082,0.0,Bullish
1995-12-01,614.57,1995-12,25.03,67.12,5.71,5.6,153.5,10.74,0.03197152116602031,0.6799999999999997,-0.011050537792839266,-0.21999999999999975,0.0,-0.0006510416666666297,0.006560449859418949,Bullish
1996-01-01,614.42,1996-01,24.76,66.78,5.65,5.6,154.4,10.74,-0.00024407309175533687,-0.2699999999999996,-0.005065554231227676,-0.05999999999999961,0.0,0.005863192182410382,0.0,Bearish
1996-02-01,649.54,1996-02,25.97,66.61,5.81,5.5,154.9,10.74,0.05715959766934664,1.2099999999999973,-0.0025456723569931006,0.15999999999999925,-0.09999999999999964,0.0032383419689119286,0.0,Bullish
1996-03-01,647.07,1996-03,25.63,66.32,6.27,5.5,155.7,10.82,-0.0038026911352647685,-0.33999999999999986,-0.0043537006455488525,0.45999999999999996,0.0,0.005164622336991442,0.007448789571694592,Bearish
1996-04-01,647.17,1996-04,25.42,66.63,6.51,5.6,156.3,10.82,0.00015454278516990883,-0.2099999999999973,0.0046743063932448425,0.2400000000000002,0.09999999999999964,0.003853564547206423,0.0,Bearish
1996-05-01,661.23,1996-05,25.81,67.07,6.74,5.6,156.6,10.82,0.021725358097563374,0.389999999999997,0.0066036319975986135,0.23000000000000043,0.0,0.0019193857965449368,0.0,Bullish
1996-06-01,668.5,1996-06,25.96,67.58,6.91,5.3,156.7,11.01,0.010994661464240885,0.15000000000000213,0.0076039958252571704,0.16999999999999993,-0.2999999999999998,0.0006385696040867028,0.01756007393715331,Neutral
1996-07-01,644.07,1996-07,24.86,68.16,6.87,5.5,157.0,11.01,-0.036544502617800956,-1.1000000000000014,0.008582420834566395,-0.040000000000000036,0.20000000000000018,0.0019144862795150708,0.0,Bearish
1996-08-01,662.68,1996-08,25.41,68.73,6.64,5.1,157.3,11.01,0.02889437483503321,0.5500000000000007,0.008362676056338225,-0.23000000000000043,-0.40000000000000036,0.0019108280254778176,0.0,Bullish
1996-09-01,674.88,1996-09,25.68,69.21,6.83,5.2,157.8,11.1,0.01841009235226654,0.2699999999999996,0.006983849847228107,0.1900000000000004,0.10000000000000053,0.0031786395422759295,0.008174386920980936,Bullish
1996-10-01,701.46,1996-10,26.48,70.73,6.53,5.2,158.3,11.1,0.03938477951635844,0.8000000000000007,0.02196214419881537,-0.2999999999999998,0.0,0.003168567807350975,0.0,Bullish
1996-11-01,735.67,1996-11,27.58,72.34,6.2,5.4,158.6,11.1,0.04876970889288046,1.0999999999999979,0.02276261840803051,-0.33000000000000007,0.20000000000000018,0.0018951358180667732,0.0,Bullish
